,question
0,What is the difference between the action of the last person in the video and the actions of the first two people?
1,Can you describe how the actions of the last person in the video differ from other individuals?
2,Did the last person open the bottle without using a knife?
3,Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?
4,"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger."
5,How many robot figures appear in the video?
6,What is the total number of robot figures shown in the video?
7,Does the video display four robot figures in total?
8,Are there only two robot figures shown in the video?
9,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five"
10,Which direction is the person facing?
11,In which directions is the person looking?
12,Is the person facing both sideways and forward due to photo editing?
13,Is the person facing forward because of the symmetry of the shoulders?
14,"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left"
15,Why can the apparently slow spinning machine cut the zucchini so thinly?
16,How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?
17,"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?"
18,"Is the machine able to cut the zucchini thinly because of the sharpness of the blade, even at a slower speed?"
19,"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed."
20,How many parts of the video have been artificially edited?
21,In how many sections does the video show signs of artificial editing?
22,Is the video edited in multiple parts to create the effect of video game glitches?
23,Is the video edited only in one part to create the effect of video game glitches?
24,"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two"
25,Why was the last person able to snap off the cap so easily?
26,What was the reason that the last person was able to break off the bottle cap so easily?
27,Did the last person successfully break the bottle?
28,Did the last person use a lighter as a lever to snap off the cap easily?
29,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap."
30,Why did the room go dark after the stick figure character closed the door?
31,What caused the room to become dark after the stick figure character shut the door?
32,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?"
33,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?
34,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch."
35,How many times did the person in the video pour the water?
36,How many times does the person pour water in the video?
37,Did the person in the video pour the water twice?
38,Did the person in the video pour the water once?
39,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice"
40,What is the purpose of beating the balloon?
41,Why do you need to hit the balloon in this activity?
42,Is the purpose of hitting the balloon to create a fun and interactive toy?
43,Is the purpose of hitting the balloon to make it pop loudly?
44,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color"
45,Why does the man put his hand on his face?
46,What is the reason the man covers his face with his hand?
47,Did the man cover his face to transfer the cat face filter to the girl next to him?
48,Did the man put his hand on his face as part of a synchronized dance move?
49,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him."
50,What does the video want to tell as the daughter enters the room several times?
51,What is the message conveyed by the daughter's repeated entries into the room?
52,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?
53,"Does the video show the daughter repeatedly entering the room to announce the pet dog, highlighting cultural differences?"
54,"Why does the daughter enter the room several times?
A. To announce the pet dog.
B. To show excitement about the pet.
C. To emphasize cultural differences.
D. To check if her mother is two-faced about the dog."
55,How many zoomed-in close-ups are there throughout the video?
56,What is the total number of zoomed-in close-ups in the video?
57,"Are there two zoomed-in close-ups in the video, focusing on the geometric pattern?"
58,Does the video contain 10 zoomed-in close-ups of the geometric pattern?
59,"How many zoomed-in close-ups are there in the video?
A. 2
B. 4
C. 3
D. 1"
60,In which sequence of location does the man teleport in the video?
61,What is the order of locations where the man appears after teleporting in the video?
62,"Does the man teleport to the bookshelf, couch, cardboard box, and then back under the blanket in the video?"
63,"In the video, does the man first teleport to the bookshelf, then to the cardboard box, then to the couch, and finally return to under the blanket?"
64,"In which sequence of location does the man teleport in the video?
A. Bookshelf, Couch, Blanket, Cardboard Box
B. Bookshelf, Couch, Cardboard Box, Blanket
C. Bookshelf, Couch, Cardboard Box, Door
D. Couch, Bookshelf, Cardboard Box, Blanket"
65,How many buildings are demolished throughout the video?
66,What is the total number of buildings that are taken down in the video?
67,Are two buildings demolished in the video?
68,Is only one building demolished in the video?
69,"How many buildings are demolished in the video?
A. Two
B. Three
C. Four
D. One"
70,How many toy cars are shown in the video?
71,What is the number of toy cars visible in the video?
72,Are there two toy cars shown in the video clip?
73,Are there three toy cars shown in the video clip?
74,"How many toy cars are shown in the video?
A. Three
B. Four
C. Two
D. One"
75,"At the beginning of the video, what action did the person do to make the bottle fall down to the ground?"
76,What did the person do at the start of the video that caused the bottle to fall?
77,"Did the person let go of the bottles on a slope, causing them to slide and fall?"
78,Did the person push the bottle with their hand to make it fall?
79,"What action did the person take to make the bottle fall?
A. Pushed it with their hand.
B. Threw it down.
C. Kicked it.
D. Placed it on a slope and let go."
80,How many watches are shown in the video?
81,What is the total number of watches displayed in the video?
82,Are there four watches shown in the video?
83,Are there five watches shown in the video?
84,"How many watches are shown in the video?
A. Six
B. Four
C. Three
D. Five"
85,How many men appear in the video?
86,What is the number of male figures shown in the video?
87,Is there only one man in the video?
88,Are there two men in the video?
89,"How many men appear in the video?
A. Three
B. One
C. Two
D. None"
90,What does the final scene depicts?
91,What is shown in the final scene of the video?
92,Does the final scene depict three men performing a stunt by jumping through a hula hoop?
93,Is the final scene a demonstration of a spinning wheel's gyroscopic effect?
94,"What does the final scene depict?
A. A dance performance.
B. A juggling act.
C. A physics demonstration.
D. Three men jumping through a hula hoop."
95,What is the purpose for the character in costume to put a small piece of white tape on the handrail?
96,Why does the character in costume place a small piece of white tape on the handrail?
97,Waht is the purpose for the character in costume to put a small piece of white tape on the handrail?
98,Is a small piece of white tape attached to the armrest to attract dust?
99,"What is the purpose of placing a small piece of white tape on the handrail?
A. To decorate the handrail.
B. To repair a crack.
C. To mark a point for tracking movement.
D. To attract dust on the armrests."
100,"How many times does the color of the car in the video change?
"
101,How many times does the car's color shift in the video?
102,"Does the car in the video change color four times, starting with black?"
103,"Does the car in the video change color three times, starting with blue?"
104,"How many times does the car's color change in the video?
A. Three times
B. Four times
C. Five times
D. Two times"
105,What are the characteristics of the clothing of the person holding a potato in the video?
106,What are the features of the person holding a potato in the video?
107,Is the person holding a potato wearing a red coat and having long brown hair?
108,Is the person holding a potato wearing a light pink hoodie and a black cap?
109,"What is the person in the video wearing while holding a potato?
A. Blue shirt
B. Red shirt
C. Light pink hoodie and blue jeans
D. Black cap"
110,"In the video, what is the tools for fixing the position of the pages?"
111,What tool is used in the video to secure the pages in place?
112,Is the tool used to fix the pages in the video a blue retainer?
113,Is the tool used to fix the pages in the video a rubber band?
114,"What tool is used to fix the pages in the video?
A. Clamp
B. Elastic bands
C. Rubber band
D. Bendable retainer"
115,"In the video, with which hand does the adult man hand the white cutting board to the child?"
116,Which hand does the man use to pass the white cutting board to the child in the video?
117,Does the man hand the white cutting board to the child using his left hand?
118,Does the man hand the white cutting board to the child using his right hand?
119,"With which hand does the man hand the white cutting board to the child?
A. Neither hand
B. Left hand
C. Right hand
D. Both hands"
120,"How many times does the golfer in the video successfully hit the target?
"
121,How many successful target hits does the golfer achieve in the video?
122,Does the golfer hit the target only once in the video?
123,Does the golfer manage to hit the target 10 times in the video?
124,"How many times does the golfer successfully hit the target in the video?
A. 0
B. 1
C. 10
D. 5"
125,"Why is the woman in the video surprised?
"
126,What causes the woman in the video to feel astonished?
127,Is the woman surprised because the pencil remains unbroken despite the man's grip?
128,Is a woman surprised that a man has managed to break a pencil with his hand?
129,"Why is the woman surprised in the video?
A. The pencil was bent.
B. The pencil remains unbroken.
C. The pencil is broken.
D. The man performs a magic trick."
130,"How many times does the woman pour juice into the mold in the video?
"
131,How many times does the woman fill the mold with juice in the video?
132,Does the woman pour juice into the mold twice in the video?
133,Does the woman pour juice into the mold three times in the video?
134,"How many times does the woman pour juice into the mold in the video?
A. Twice
B. Once
C. Three times
D. Four times"
135,How many times does the person cut the stem?
136,How many times have the stems been cut?
137,Does the person cut the stem with just one swing?
138,Does the person cut the stem a total of 10 times?
139,"How many times does the person cut the stem?
A. Twice
B. 5 times
C. Once
D. 10 times"
140,How many photos about “old me” are played in the video in total?
141,What is the total number of photos labeled 'old me' shown in the video?
142,Are there 12 photos labeled 'old me' in the video?
143,Does the video include a photo of 'old me' reading a book at a desk twice?
144,"How many photos labeled 'old me' are in the video?
A. 12
B. 11
C. 10
D. 13"
145,How long did the time lapse of the demonstration of capillary action last precisely in physical time of the video?
146,What was the exact duration of the capillary action demonstration in real time as shown in the video?
147,Did the time lapse of the capillary action demonstration last one hour and fifteen minutes according to the clock in the video?
148,Did the time lapse of the capillary action demonstration last precisely 2 hours as indicated by the clock in the video?
149,"How long did the time lapse of the capillary action demonstration last in the video?
A. 2 hours
B. 1 hour and 15 minutes
C. 3 hours
D. 45 minutes"
150,"According to the video, what is the exact reason the two orange cats jumped away in the scene with a kitchen countertop and a person in a red hat?"
151,What caused the two orange cats to leap away in the kitchen scene with the person wearing a red hat?
152,Did the two orange cats jump away because the person in the red hat used a party blower?
153,Did the two orange cats jump away because they were frightened by a toy snake?
154,"What made the two orange cats jump away in the kitchen scene?
A. A toy snake
B. A loud noise
C. A sudden light
D. A party blower"
155,What is the person in the foreground doing in the video?
156,What activity is the person in the foreground engaged in during the video?
157,Is the person in the foreground painting a hyperrealistic image of a wet-haired woman?
158,"Is the person in the foreground under running water, as suggested by the water droplets on their face?"
159,"What is the person in the foreground doing?
A. Applying makeup
B. Painting a image
C. Taking a shower
D. Sleeping"
160,"At the end of the video, why does the ball fall off the disc?"
161,What causes the ball to fall off the disc at the end of the video?
162,Did the ball fall off the disc because it was thrown and inertia carried it to the edge?
163,"Did the ball fall off the disc because the disc was tilted, causing it to roll off due to gravity?"
164,"Why does the ball fall off the disc at the end of the video?
A. The disc stops spinning.
B. A girl throws the ball, and inertia carries it to the edge.
C. The straw figures have moved and pushed it off.
D. The disc is tilted."
165,How many times does the ping-pong ball bounce on the ground in total?
166,What is the total number of times the ping-pong ball hits the ground?
